name	name2	sex	country	birth	height(cm)	weight(kg)	event	native	register
安-弗雷泽 	Shelly-Ann Fraser-Pryce	女	牙买加	1986年11月27日	160	52	田径		
阿莱克斯?加西亚 	Alex Garcia	男	巴西	1980年3月4日	191	89	篮球		
安德森?瓦莱乔 	Anderson Varejao	男	巴西	1982年9月28日	211	118	篮球		
埃米莉·西博姆 	Emily Jane Seebohm	女	澳大利亚	1992年6月5日	180	64	游泳		
安迪·穆雷 	Andy Murray	男	英国	1987年5月15日	191	81	网球		
阿列克谢·克里莫夫 	Alexey Klimov 	男	俄罗斯	1975年8月27日	182	81	"射击
"		
艾衍含 	Ai Yanhan	女	中国	2002年2月7日			游泳	湖北	
阿索维奇 	ARSOVIC Andrea								
安赫尔-科雷亚 	Angel Correa	男	阿根廷	1995年3月9日	173	71	男子足球		
埃德加-耶 	Edgar Ie	男	葡萄牙	1994年5月1日	176	72	男子足球		
安吉尔·麦克康特利 	Angel McCoughtry	女	美国	1986年9月10日	185	73	篮球		
阿尔法拉克·阿米奴 	Al-Farouq Aminu	男	尼日利亚	1990年9月21日	206	98	篮球		
阿隆·贝内斯 	Aron Baynes	男	澳大利亚	1986年12月9日	208	118	篮球		
安德烈斯·诺西奥尼 	Andres Nocioni	男	阿根廷	1979年11月30日	201	102	篮球		
艾克内·伊贝克维 	Ekene Ibekwe	男	尼日利亚	1985年7月19日	206	100	篮球		
奥古斯托 	Augusto	男	巴西	1988年2月8日	186	86	男子足球		
鲍里斯·迪奥 	Boris Diaw	男	法国	1982年4月16日	203	107	篮球		
卞卡 	BIAN Ka	女	中国	1993年1月5日	182	113	女子铅球	江苏	江苏
保罗·加索尔 	Pau Gasol	男	西班牙	1980年7月6日	213	118	篮球		
白发全 	Bai Faquan 	男	中国	1986年3月18日	175	64	铁人三项	云南	"四川
"
毕晓琳 	Bi Xiaolin	女	中国	1989年9月18日			足球	辽宁	
保罗·乔治 	Paul George	男	美国	1990年5月2日	203	95	篮球		
博涅娃 	BONEVA Antoaneta	女	保加利亚	1986年1月17日			射击		
巴哈尔·卡格拉尔 	Bahar Caglar	女	土耳其	1988年9月28日	191	76	篮球		
波尔 	Timo Boll	男	德国	1981年3月8日	178	65	乒乓球		
鲍语晴 	Bao Yuqing	女	中国				艺术体操	浙江	
毕胜峰 	Bi Shengfeng	男	中国				摔跤		山东
贝莎妮·马泰克-桑兹 	Bethanie Mattek-Sands	女	美国	1985年3月23日	168	66.4	网球		
查德·勒克洛斯 	Chad le Clos	男	南非	1992年4月12日	183	77.8	游泳		
陈楠 	Chen Nan	女	中国	1983年12月8日	197	90	篮球	青岛胶南	
查尔斯·卡胡迪 	Charles Kahudi	男	法国	1983年5月25日	190	94	篮球		
陈晓佳 	Chen Xiao Jia	女	中国	1988年4月2日	180	70	篮球	江苏无锡	
陈扬 	CHEN Yang	女	中国	1991年7月10日	180	100	女子铁饼	河北	河北
陈洁 	Chen Jie	女	中国	1995年	176		游泳	湖北	
陈欣怡 	Chen Xinyi	女	中国	1998年			游泳	上海	
崔米尚 	CHOI Misun	女	韩国	1996年7月1日			射箭		
曹玥 	Cao Yue	女	中国	1995年			游泳	山西	
曹缘 	Cao Yuan	男	中国	1995年2月7日	160	42	跳水	北京市	北京市
曾珍 	Zeng Zhen	女	中国	1993年11月28日	170	61	花样游泳	四川	
陈颖 	Chen Ying	女	中国	1977年11月4日	164	75	射击	北京	北京
成池铉 	Sung Ji Hyun	女	韩国	1991年7月29日	169	59	羽毛球		
程训钊 	Cheng Xunzhao	男	中国	1991年			柔道	江苏	
谌利军 	Chen Li Jun	男	中国:				举重	湖南	
陈倩 	Chen Qian	女	中国	1987年1月14日	163	54	女子现代五项	江苏	"江苏
"
陈海威 	Chen Haiwei	男	中国	1994年12月30日	188		击剑	福建	"福建
"
曹忠荣 	Cao Zhongrong	男	中国	1981年11月3日	180	73	男子现代五项	上海	"上海
"
崔秋霞 	Cui Qiuxia	女	中国	1990年9月11日	166	63	曲棍球		"上海
"
曹硕 	Cao Shuo	男	中国	1991年10月8日	180	76	男子三级跳远	河北	河北
陈定 	Chen Ding	男	中国	1992年8月5日	177	61	男子20公里竞走	云南	广东省
陈若琳 	Chen Ruolin	女	中国	1992年12月12日	158	47	跳水	江苏省	江苏省
曾涛 	Zeng Tao	男	中国				赛艇	湖南	
谌龙 	Chen Long	男	中国	1989年1月18日	188	78	羽毛球	福建	福建
曹慧 	Cao Hui	女	中国				射箭	辽宁	辽宁
柴飚 	Chai Biao	男	中国	1990年10月10日	183	70	羽毛球	湖南	湖南
丁宁 	Ding Ning	女	中国	1990年6月20日	170	63	乒乓球	黑龙江	北京
邓薇 	Deng Wei	女	中国	1993年2月14日	158	60	举重	福建	
丹羽孝希 	Niwa Kouki	男	日本	1994年10月10日	162	51	乒乓球		
董洁 	Dong Jie	女	中国				游泳	天津	
董栋 	Dong Dong	男	中国	1989年4月13日	168	60	蹦床	河南	山西省
董国建 	Dong Guojian	男	中国	1987年3月16日	172	60	田径	云南	云南
德玛尔·德罗赞 	DeMar DeRozan	男	美国	1989年8月7日	201	100	"篮球
"		
杜丽 	Du Li	女	中国	1982年3月5日	170	55	射击	山东	山东
德马库斯·考辛斯 	DeMarcus Cousins	男	美国	1990年8月13日	211	123	"篮球
"		
德安德鲁·乔丹 	DeAndre Jordan	男	美国	1988年7月21日	211	120	篮球		
邓书弟 	Deng Shudi	男	中国	1991年9月10日			体操	贵州	贵州
德拉甘·斯坦科维奇 	Dragan Stankovic	男	塞尔维亚	1985年10月18日	205	80	排球		
蒂娜·查尔斯 	Tina Charles	女	美国	1988年12月5日	193	90	篮球		
邓志伟 	Deng Zhiwei	男	中国				男子古典式摔跤125公斤级	河北	
迪米特里·奥恰洛夫 	Ovtcharov Dimitrij	男	德国	1988年9月2日	183	71	"乒乓球
"		
大卫·安德森 	David Andersen	男	澳大利亚	1980年6月23日	211	112	篮球		
德娇娇 	De Jiaojiao	女	中国	1990年1月5日	168	56	女子曲棍球	天津	"天津
"
达米里斯·丹特斯 	Damiris Dantas	女	巴西	1992年11月17日	192	88	篮球		
多布杰 	Duo Bujie	男	中国	1994年	170	55	田径	西藏	西藏
丁彦雨航 	Di Yanyuhang	男	中国	1993年8月20日	200	91	篮球	新疆克拉玛依	
单晓娜 	Shan Xiaona	女	德国				乒乓球		
杜凯琹 	Du Kaiqin	女	中国香港	1996年11月27日			乒乓球		
冯彬 	Feng bin	女	中国	1994年4月3日	184	95	女子铁饼	山东	山东
菲利普·雷耶斯 	Felipe  Reyes	男	西班牙	1980年3月16日	206	115	篮球		
费尔南多·圣梅里特奥 	Fernando San Emeterio	男	西班牙	1984年1月1日	199	105	篮球		
范忆琳 	Fan Yilin	女	中国	1999年11月11日			体操	上海	上海
福原爱 	Fukuhara Ai	女	日本	1988年11月1日	154	48	乒乓球		
菲尔普斯 	Michael Phelps	男	美国	1985年6月30日	193	79	游泳		
冯天薇 	Feng Tianwei	女	新加坡	1986年8月31日	164	58	乒乓球		
菲利佩-吴 	Felipe Almeida WU								
傅园慧 	Fu Yuanhui	女	中国	1996年1月7日	177	63	游泳	浙江	浙江
范阳 	Fan Yang	男	中国				自行车	上海	上海
弗拉基米尔·莫洛佐夫 	Vladimir Morozov	男	俄罗斯	1992年6月16日	185	80	游泳		
傅海峰 	Fu Hai Feng	男	中国	1984年1月2日	181	78	羽毛球	广东	广东
冯珊珊 	Feng Shanshan	女	中国	1989年8月5日	173	68	高尔夫	广东	
郭建力 	Guo Jianli	男	中国	1988年3月6日			现代五项	广东	广东
高阳 	GAO Yang	女	中国	1993年3月1日	178	115	女子铅球	山东	山东
葛曼棋 	GE Manqi	女	中国	1997年10月13日	160	48	女子短跑	福建	福建
高颂 	Gao Song	女	中国	1992年4月16日	191	85	篮球	黑龙江	
古斯塔沃-坪井 	TSUBOI Gustavo	男	巴西	1985年5月31日	170	67	乒乓球		
高磊 	Gao Lei	男	中国				蹦床		上海
呙俐 	Guo Li	女	中国		167		花样游泳	江苏	
古雅沙 	GU Yasha	女	中国	1990年11月28日			足球	河南	
高晨 	GAO Chen	女	中国	1992年8月11日			足球	辽宁	
郭文珺 	Guo Wenjun	女	中国	1984年6月22日	168	65	射击	陕西	陕西
郭艾伦 	Guo Ailun	男	中国	1993年11月14日	192	85	篮球	辽宁	辽宁
巩立姣 	Gong Lijiao	女	中国	1989年1月24日	175	108	女子铅球	河北	河北
宫磊 	Gong Lei	男	中国	1983年3月26日	185	88	帆船	山东省	山东
盖尔曼·桑切斯 	Germán Sánchez	男	墨西哥	1992年6月24日			跳水		
宫金杰 	Gong Jinjie	女	中国	1986年11月12日	168	67	自行车	吉林	吉林
顾雪宋 	Gu Xuesong	男	中国				射箭		上海
顾笑 	Gu Xiao	女	中国	1993年3月18日	174	60	游泳	江苏	
高兴龙 	Gao Xinglong	男	中国	1994年3月12日	181	70	田径	黑龙江	黑龙江
韩玉成 	Han Yucheng	男	中国	1978年12月16日	175	63	田径	辽宁	辽宁
黄思静 	Huang Si Jing	女	中国	1996年4月	192	80	篮球	广东梅州	
黄镇廷 	WONG Chun Ting	男	中国香港	1991年9月7日	175	60	乒乓球		
何钧杰 	HO Kwan Kit	男	中国香港	1997年4月20日	175	60	乒乓球		
胡安·卡洛斯·纳瓦罗 	Juan Carlos Navarro	男	西班牙	1980年6月13日	191	77	篮球		
华绍青 	HUA Shaoqing	女	中国	1994年2月12日	172	54	女子中长跑	河北	河北
何雯娜 	He Wenna	女	中国	1989年1月19日	160	48	蹦床	福建	福建省
黄丽珠 	Huang Li Zhu	女	中国		175		帆船	海南	
韩鹏 	Han Peng	女	中国	1989年12月20日			足球	山东	
侯雅雯 	Hou Yanwen	女	中国				游泳	辽宁	
哈里森·巴恩斯 	Harrison Barnes	男	美国	1992年5月29日	203	95	篮球		
黄文仪 	Huang Wenyi 	女	中国	1991年3月6日	178	63	赛艇	 广东省	 广东
胡斌渊 	Hu Binyuan	男	中国	1977年11月7日	180	67	射击	上海	上海
郝佳露 	Hao Jialu	女	中国	1987年8月20日	176		击剑	山西	
华天 	Hua Tian	男	中国	1989年10月25日	187	70	马术	北京	
黄雪辰 	Huang Xuechen	女	中国	1990年2月25日	175	62	花样游泳	上海	上海
黄红枇 	Huang Hong Pi	女	中国	1989年4月	195	80	篮球	广西南宁	
何健彬 	He Jianbin	男	中国	1993年2月18日	188	79	游泳	广东	广东
何姿 	He Zi	女	中国	1990年12月10日	159	51	跳水	广西	广东省
胡逸轩 	Hu Yixuan	男	中国	1994年10月			游泳	浙江	
黄冬艳 	Huang Dongyan	女	中国				自行车	上海	上海
惠若琪 	Hui Ruoqi	女	中国	1991年3月4日	191	77	排球	辽宁	江苏
黄常洲 	Huang Changzhou	男	中国	1994年8月20日	186	73	田径	四川	四川
韩莹 	Han Ying	女	德国	1983年4月29日			乒乓球		
黄博凯 	Huang Bokai	男	中国	1996年9月26日	192	78	田径	广东	广东
杰西卡-恩尼斯 	Jessica Ennis	女	英国	1986年1月28日	165	57	田径		
贾斯汀-加特林 	Justin Gatlin	男	美国	1982年2月10日	185	83	田径		
江燕 	Jiang Yan	女	中国				赛艇	山东	
吉米·巴特勒 	Jimmy Butler	男	美国	1989年9月14日	201	101	"篮球
"		
焦云龙 	Jiao Yunlong	男	中国	1988年5月9日	190		击剑	安徽	安徽
吉奥瓦尼-西蒙尼 	Giovanni Simeone	男	阿根廷	1995年7月5日	181	81	男子足球		
金特尔 	Matthias Ginter	男	德国	1994年1月19日	188	85	男子足球		
金威 	Jin Wei	男	中国				赛艇	辽宁	
金延璟 	Kim yeon-koung	女	韩国	1988年2月26日	192	73	排球		
敬亚莉 	Jing Yali	女	中国	1993年5月25日			自行车	河南	
加尔比妮·穆古鲁扎 	Garbi?e Muguruza	女	西班牙	1993年10月8日	182	73	网球		
凯文·杜兰特 	Kevin Durant	男	美国	1988年9月29日	206	104	篮球		
卡梅伦·范德伯格 	Cameron van der Burgh	男	南非	1988年5月25日	185	85	游泳		
凯特·坎贝尔 	Cate Campbell	女	澳大利亚	1995年5月10日	186	67	"游泳
"		
奎赫梅?乔万诺尼 	Guilherme Giovannoni	男	巴西	1980年6月2日	204	97	篮球		
孔令微 	KONG Lingwei	女	中国	1995年7月28日	165	55	女子短跑	黑龙江	黑龙江
凯瑞·厄文 	Kyrie Irving	男	美国	1992年3月23日	191	81	篮球		
凯尔·洛里 	Kyle Lowry	男	美国	1986年3月25日	183	93	篮球		
科斯特耶维奇 	Olena KOSTEVYCH								
凯蒂·莱德基 	Katie Ledecky	女	美国	1997年3月17日	180	70	游泳		
库雅妮特拉·霍林斯沃斯 	Kuanitra Holingsvorth	女	土耳其	1988年11月15日	196	91	篮球		
卡罗丽娜·马琳 	Carolina Marín	女	西班牙	1993年6月15日			羽毛球		
卡汀卡·霍斯祖 	Katinka Hosszú	女	匈牙利	1989年5月3日	170	60	游泳		
卡梅伦·麦克沃伊 	Cameron McEvoy	男	澳大利亚	1994年5月13日	183	73	游泳		
克莱恩·杜马克 	Celine Dumerc	女	法国		169		 项目:篮球		
